Time,location,name,x_pos,y_pos
7,home,home,-22.821710155813086,-47.07402914943809
8,Instituto de Computação,Instituto de Computação,-22.8155457,-47.0672998
9,home,home,-22.821710155813086,-47.07402914943809
10,Instituto de Filosofia e Ciências Humanas,Instituto de Filosofia e Ciências Humanas,-22.815256,-47.0683416
11,home,home,-22.821710155813086,-47.07402914943809
12,Instituto de Geociências,Instituto de Geociências,-22.8132049,-47.0687735
13,home,home,-22.821710155813086,-47.07402914943809
14,Faculdade de Engenharia Agrícola,Faculdade de Engenharia Agrícola,-22.8188263,-47.0605734
15,home,home,-22.821710155813086,-47.07402914943809
16,Instituto de Artes,Instituto de Artes,-22.8152701,-47.0700717
17,home,home,-22.821710155813086,-47.07402914943809
18,Ginásio Multidisciplinar,Ginásio Multidisciplinar,-22.8151305,-47.0711853
19,Ciclo Básico II,Ciclo Básico II,-22.8175692,-47.0708179
20,home,home,-22.821710155813086,-47.07402914943809
21,Faculdade de Engenharia Elétrica e de Computação,Faculdade de Engenharia Elétrica e de Computação,-22.8211718,-47.0661905
22,home,home,-22.821710155813086,-47.07402914943809
23,Instituto de Biologia,Instituto de Biologia,-22.8199818,-47.070042
24,home,home,-22.821710155813086,-47.07402914943809
25,Ginásio Multidisciplinar,Ginásio Multidisciplinar,-22.8151305,-47.0711853
26,Restaurante Universitário,Restaurante Universitário,-22.8176453,-47.0721495
28,home,home,-22.821710155813086,-47.07402914943809
29,Faculdade de Engenharia Civil,Faculdade de Engenharia Civil,-22.8160196,-47.0642806
30,home,home,-22.821710155813086,-47.07402914943809
31,Museu Exploratório de Ciências,Museu Exploratório de Ciências,-22.8148927,-47.057716
32,home,home,-22.821710155813086,-47.07402914943809
33,Ciclo Básico I,Ciclo Básico I,-22.8174692,-47.0687345
34,home,home,-22.821710155813086,-47.07402914943809
35,Faculdade de Educação,Faculdade de Educação,-22.8160382,-47.0650473
36,Instituto de Física Gleb Wataghin,Instituto de Física Gleb Wataghin,-22.8176227,-47.0668376
37,home,home,-22.821710155813086,-47.07402914943809
38,Instituto de Geociências,Instituto de Geociências,-22.8132049,-47.0687735
39,home,home,-22.821710155813086,-47.07402914943809
40,Instituto de Biologia,Instituto de Biologia,-22.8199818,-47.070042
41,home,home,-22.821710155813086,-47.07402914943809
42,Instituto de Estudos da Linguagem,Instituto de Estudos da Linguagem,-22.8144254,-47.0692449
43,home,home,-22.821710155813086,-47.07402914943809
44,Instituto de Economia,Instituto de Economia,-22.8149659,-47.0657313
45,home,home,-22.821710155813086,-47.07402914943809
46,Instituto de Artes,Instituto de Artes,-22.8152701,-47.0700717
47,home,home,-22.821710155813086,-47.07402914943809
48,Museu Exploratório de Ciências,Museu Exploratório de Ciências,-22.8148927,-47.057716
49,home,home,-22.821710155813086,-47.07402914943809
50,Instituto de Computação,Instituto de Computação,-22.8155457,-47.0672998
51,home,home,-22.821710155813086,-47.07402914943809
52,Instituto de Filosofia e Ciências Humanas,Instituto de Filosofia e Ciências Humanas,-22.815256,-47.0683416
53,home,home,-22.821710155813086,-47.07402914943809
54,Instituto de Física Gleb Wataghin,Instituto de Física Gleb Wataghin,-22.8176227,-47.0668376
55,Restaurante Acadêmico,Restaurante Acadêmico,-22.8223803,-47.06505
59,home,home,-22.821710155813086,-47.07402914943809
