Time,location,name,x_pos,y_pos
7,home,home,-22.821710155813086,-47.07402914943809
8,Instituto de Computação,Instituto de Computação,-22.8155457,-47.0672998
9,Instituto de Filosofia e Ciências Humanas,Instituto de Filosofia e Ciências Humanas,-22.815256,-47.0683416
10,Instituto de Geociências,Instituto de Geociências,-22.8132049,-47.0687735
11,Faculdade de Engenharia Agrícola,Faculdade de Engenharia Agrícola,-22.8188263,-47.0605734
13,Instituto de Artes,Instituto de Artes,-22.8152701,-47.0700717
14,Ginásio Multidisciplinar,Ginásio Multidisciplinar,-22.8151305,-47.0711853
15,Ciclo Básico II,Ciclo Básico II,-22.8175692,-47.0708179
16,Faculdade de Engenharia Elétrica e de Computação,Faculdade de Engenharia Elétrica e de Computação,-22.8211718,-47.0661905
18,Instituto de Biologia,Instituto de Biologia,-22.8199818,-47.070042
19,Ginásio Multidisciplinar,Ginásio Multidisciplinar,-22.8151305,-47.0711853
20,Restaurante Universitário,Restaurante Universitário,-22.8176453,-47.0721495
26,Faculdade de Engenharia Civil,Faculdade de Engenharia Civil,-22.8160196,-47.0642806
27,Museu Exploratório de Ciências,Museu Exploratório de Ciências,-22.8148927,-47.057716
28,Ciclo Básico I,Ciclo Básico I,-22.8174692,-47.0687345
29,Faculdade de Educação,Faculdade de Educação,-22.8160382,-47.0650473
30,Instituto de Física Gleb Wataghin,Instituto de Física Gleb Wataghin,-22.8176227,-47.0668376
31,Instituto de Geociências,Instituto de Geociências,-22.8132049,-47.0687735
33,Instituto de Biologia,Instituto de Biologia,-22.8199818,-47.070042
35,Instituto de Estudos da Linguagem,Instituto de Estudos da Linguagem,-22.8144254,-47.0692449
36,Instituto de Economia,Instituto de Economia,-22.8149659,-47.0657313
37,Instituto de Artes,Instituto de Artes,-22.8152701,-47.0700717
38,Museu Exploratório de Ciências,Museu Exploratório de Ciências,-22.8148927,-47.057716
39,Instituto de Computação,Instituto de Computação,-22.8155457,-47.0672998
40,Instituto de Filosofia e Ciências Humanas,Instituto de Filosofia e Ciências Humanas,-22.815256,-47.0683416
41,Instituto de Física Gleb Wataghin,Instituto de Física Gleb Wataghin,-22.8176227,-47.0668376
42,Restaurante Acadêmico,Restaurante Acadêmico,-22.8223803,-47.06505
48,home,home,-22.821710155813086,-47.07402914943809
