Time,location,name,x_pos,y_pos
7,home,home,206.95012802124023,418.0089099121094
8,gym,gym,199.38019317626953,277.02156040191653
9,home,home,206.95012802124023,418.0089099121094
10,school,school,459.8399938964844,415.53423950195315
11,work,work,345.79523986816406,402.50240203857425
12,cafe,cafe,272.6614934825897,169.47654602050784
13,university,university,261.6315774345398,373.17638275146487
14,park,park,258.33498710632324,265.717486114502
15,work,work,345.79523986816406,402.50240203857425
16,gas_station,gas_station,100.71197265625,273.0388676834107
17,theater,theater,232.6977247619629,198.80245086669925
18,bar,bar,210.63961166381836,491.6728503417969
19,restaurant,restaurant,169.73903411865234,141.40980407714846
20,university,university,261.6315774345398,373.17638275146487
21,school,school,459.8399938964844,415.53423950195315
22,gym,gym,199.38019317626953,277.02156040191653
23,home,home,206.95012802124023,418.0089099121094
