Time,location,name,x_pos,y_pos
7,home,home,230.31962997436523,306.0381248474121
8,school,school,295.3574984741211,175.5333984375
9,gym,gym,145.03018981933593,82.74409179687501
10,work,work,230.31962997436523,306.0381248474121
11,cafe,cafe,104.77784759521484,314.62861328125
12,university,university,173.02686149597167,149.8197982788086
13,work,work,230.31962997436523,306.0381248474121
14,gym,gym,145.03018981933593,82.74409179687501
15,home,home,230.31962997436523,306.0381248474121
16,school,school,295.3574984741211,175.5333984375
17,bar,bar,81.8667529296875,140.13303833007814
18,theater,theater,12.46317321777343,328.9825866699219
19,cafe,cafe,104.77784759521484,314.62861328125
20,university,university,173.02686149597167,149.8197982788086
21,bar,bar,81.8667529296875,140.13303833007814
22,home,home,230.31962997436523,306.0381248474121
